Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"Feel your tense muscles relax , be able to walk normally again , and go to the bathroom without worrying about the burn . Either way , it is clear that the illegality of abortion in Mexico is a significant cause of death to women who seek abortions , while it is not very effective at preventing abortions . But until we can get there , our strategy of closing abortion clinics by using the tools the system has provided is an effective way to save lives right now . The increased risk of these devastating complications is estimated to be approximately 37 percent after one abortion , 90 percent after two abortions , and further increased risk for each additional abortion .",abortion,"[(0, 31), (31, 58), (58, 69), (69, 87), (87, 123)]","[(38, 87)]",m3,0.7749999999999999,MG,C3.113,train,doc_139,"a significant cause of death to women who seek abortions , while it is not very effective at preventing abortions . But until we can get there , our strategy of closing abortion clinics by using the tools the system has provided is an effective way to save lives",MG
"To help balance the correlation of growth and carbon dioxide emission , China has agreed to reduce its emissions based on GDP output through the use of alternative energy sources . Unfortunately , as a result of this , 25 billion tons of carbon dioxide are emitted into the atmosphere every year , threatening the health of the planet through the ... Poneman said that the effort envisages the replacement of highly enriched uranium for low enriched , allowing the countries to continue operations for scientific applications .",nuclear energy,"[(0, 39), (39, 52), (52, 88)]","[(39, 52)]",-,1.0,PM,C1.1889,train,doc_6251,25 billion tons of carbon dioxide are emitted into the atmosphere every year,PM
"These water pumps come with an unprecedented Limited Lifetime Warranty , backed by EZ-CLONE 's amazing customer service . If he does block , Ice Clone disappears and you get free pressure or a free throw attempt . Take advantage of cloning PC software today , and rest easy knowing your data is doubly protected .",cloning,"[(0, 19), (19, 38), (38, 56)]","[(35, 44)]",-,0.0,MU,C2.633,train,doc_1460,throw attempt . Take advantage of cloning PC software,MU
"Functional easy-fit flat front short with side pockets and right hip pocket , adjustable waist that sits at the natural waist . If all kids have to wear the identical outfit in school then it 's not as evident as to whose family can have enough money to afford Mango and who can only pay for cheap stuff from Wal-Mart . Some could easily adjust their uniforms for in school and out of school . It 's about offering quality products at affordable prices , he said .",school uniforms,"[(0, 22), (22, 60), (60, 61), (61, 74), (74, 88)]","[(41, 74)]",m3,0.894,MG,C3.2107,train,doc_7145,whose family can have enough money to afford Mango and who can only pay for cheap stuff from Wal-Mart . Some could easily adjust their uniforms for in school and out of school,MG
"By appealing primarily to principals and other school officials , the article will not reach as many people , therefore making it less effective than some of the others Children grow every year and what may have fit them last year now does n't fit and that is throwing money away . With school uniforms , they could also mistake one another for someone who they 're not . d implemented the school uniform policy , Clinton found several , did indeed , have success wit",school uniforms,"[(0, 29), (29, 51), (51, 56), (56, 68), (68, 86)]","[(37, 68)]",m3,0.839,MG,C3.2779,test,doc_7923,"fit them last year now does n't fit and that is throwing money away . With school uniforms , they could also mistake one another for someone who they 're not",MG
"Kasich commuted the death sentence of Ronald Post to life in prison without the possibility of parole . Amnesty ’ s research shows that numerous prisoners have been driven into mental illness , yet few safeguards exist to prevent them being executed . With a state Supreme Court ruling on the appeal of the state ’ s only death row inmate expected soon , a coalition against the death penalty launched its campaign yesterday to end capital punishment next year .",death penalty,"[(0, 24), (24, 42), (42, 81)]","[(24, 33)]",m1,0.5,SP,C1.725,train,doc_2675,"numerous prisoners have been driven into mental illness ,",SP
"Also known as the death penalty , capital punishment is the most severe form of corporal . However , there are some people who believe that enforcing the death penalty makes society look just as guilty as the convicted . `` There continues to be a very strong movement away from support for the death penalty in California , ” said Matt Cherry , executive director of Death Penalty Focus , an organization that is supporting the initiative to repeal the death penalty .",death penalty,"[(0, 26), (26, 39), (39, 84)]","[(28, 39)]",m1,0.846,IMP,C1.817,train,doc_2782,death penalty makes society look just as guilty as the convicted,DISP
"One feature attempted to protect the `` rights '' of employees who get fired or disciplined for using marijuana , including a provision that employers could only discipline marijuana use that `` actually impairs job performance . '' Marijuana use is harmful and should be discouraged 2 . Sativex , which has been approved for prescription in Canada , New Zealand and eight other European countries , uses two key natural elements of marijuana , CBD and THC .",marijuana legalization,"[(0, 38), (38, 46), (46, 79)]","[(33, 46)]",m6,0.375,SP,C1.1252,train,doc_4885,impairs job performance . '' Marijuana use is harmful and should be discouraged,SP
The use of telemedicine for the performance of medication abortion is prohibited . The degree of attachment to males is lessened as abortion is repeated which tends to decrease socio-economic stability . 155 comments : I think that it is good that you showed other ways that women can prevent even having an abortion because I do n't believe that many know that there are ways to prevent it .,abortion,"[(0, 13), (13, 31), (31, 70)]","[(13, 22)]",m1,0.5,SP,C1.230,train,doc_887,The degree of attachment to males is lessened as,SP
"Almost as bad as apathy , overconfidence is the single most significant obstacle to marijuana ’ s legalization . Shifting Attitudes about Marijuana Over the past three decades , there has been a substantial decline in the percentage saying that for most people marijuana leads to the use of hard drugs . There are some states that legalize marijuana for medical and recreational use , while others prohibit the drug .",marijuana legalization,"[(0, 29), (29, 51), (51, 71)]","[(29, 40)]",m1,0.5,SP,C1.1088,train,doc_4214,there has been a substantial decline in the percentage saying that,SP
